seed,config,r,m_t_source,point_idx,category,t,tau,d_eff_denoiser,d_eff_energy
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.01994955539703369,1017.6757444312417,23.217065811157227,1.1612055907789625
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.01994955539703369,1017.6757444312417,25.044843673706055,0.8684813927837354
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.01994955539703369,1017.6757444312417,22.68140411376953,1.481911282519036
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.01994955539703369,1017.6757444312417,22.902538299560547,-0.5491576319924434
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.19004499912261963,10.5607674764306,20.502870559692383,2.1631127607531653
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.19004499912261963,10.5607674764306,19.312519073486328,4.15901557208727
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.19004499912261963,10.5607674764306,22.869354248046875,12.11498353143267
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.19004499912261963,10.5607674764306,25.000885009765625,16.109826609503102
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.3439404368400574,2.779782472836345,19.303028106689453,6.109779640377269
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.3439404368400574,2.779782472836345,21.527433395385742,5.142050525437185
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.3439404368400574,2.779782472836345,27.734588623046875,12.06095840937445
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.3439404368400574,2.779782472836345,32.3000373840332,7.112146559586336
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.4744112491607666,1.1746289550474969,32.4272346496582,18.258012317590442
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.4744112491607666,1.1746289550474969,29.92155647277832,17.58782491586635
